cube_id,poly_id,face,cube_x,cube_y,poly_x0,poly_y0,poly_x1,poly_y1,poly_x2,poly_y2,poly_x3,poly_y3,plot_x,plot_y,dim_x,dim_y,r,g,b,mask_filename,render_type,render_obj_id,scale,align_vert,align_horiz,panel_base_filename
4,4,south,0,5,142,62,177,62,177,97,142,97,142,62,35,35,127,255,153,004.png,cube,10,100.0,center,center,10_004
9,9,east,-4,4,0,57,35,62,35,97,0,102,0,57,35,45,0,191,51,009.png,cube,10,100.0,center,center,10_009
10,10,east,-3,4,46,57,71,62,71,97,46,102,46,57,25,45,31,191,51,010.png,cube,10,100.0,center,center,10_010
11,11,east,-2,4,91,57,106,62,106,97,91,102,91,57,15,45,63,191,51,011.png,cube,10,100.0,center,center,10_011
12,12,east,-1,4,137,57,142,62,142,97,137,102,137,57,5,45,95,191,51,012.png,cube,10,100.0,center,center,10_012
14,13,west,1,4,177,62,182,57,182,102,177,97,177,63,5,43,159,191,255,013.png,cube,10,100.0,center,center,10_013
15,14,west,2,4,213,62,228,57,228,102,213,97,213,62,15,45,191,191,255,014.png,cube,10,100.0,center,center,10_014
16,15,west,3,4,248,62,273,57,273,102,248,97,248,62,25,45,223,191,255,015.png,cube,10,100.0,center,center,10_015
17,16,west,4,4,284,62,319,57,319,102,284,97,284,62,35,45,255,191,255,016.png,cube,10,100.0,center,center,10_016
13,20,south,0,4,137,57,182,57,182,102,137,102,137,57,45,45,127,191,153,020.png,cube,10,100.0,center,center,10_020
18,24,east,-3,3,0,48,46,57,46,102,0,112,0,48,46,64,31,127,51,024.png,cube,10,100.0,center,center,10_024
19,25,east,-2,3,63,48,91,57,91,102,63,112,63,48,28,64,63,127,51,025.png,cube,10,100.0,center,center,10_025
20,26,east,-1,3,128,48,137,57,137,102,128,112,128,48,9,64,95,127,51,026.png,cube,10,100.0,center,center,10_026
22,27,west,1,3,182,57,192,48,192,112,182,102,182,58,10,62,159,127,255,027.png,cube,10,100.0,center,center,10_027
23,28,west,2,3,228,57,256,48,256,112,228,102,228,57,28,64,191,127,255,028.png,cube,10,100.0,center,center,10_028
24,29,west,3,3,273,57,320,48,320,112,273,102,273,57,47,64,223,127,255,029.png,cube,10,100.0,center,center,10_029
21,32,south,0,3,128,48,192,48,192,112,128,112,128,48,64,64,127,127,153,032.png,cube,10,100.0,center,center,10_032
25,35,east,-2,2,0,26,63,48,63,112,0,133,0,26,63,107,63,63,51,035.png,cube,10,100.0,center,center,10_035
26,36,east,-1,2,106,26,128,48,128,112,106,133,106,26,22,107,95,63,51,036.png,cube,10,100.0,center,center,10_036
28,37,west,1,2,192,48,213,26,213,133,192,112,192,49,21,105,159,63,255,037.png,cube,10,100.0,center,center,10_037
29,38,west,2,2,256,48,319,26,319,133,256,112,256,48,63,107,191,63,255,038.png,cube,10,100.0,center,center,10_038
27,40,south,0,2,106,26,213,26,213,133,106,133,106,26,107,107,127,63,153,040.png,cube,10,100.0,center,center,10_040
30,42,east,-1,1,0,-80,106,26,106,133,0,240,0,0,106,160,95,0,51,042.png,cube,10,100.0,center,center,10_042
32,43,west,1,1,213,26,320,-80,320,240,213,133,213,26,107,160,159,0,255,043.png,cube,10,100.0,center,center,10_043
31,44,south,0,1,0,-80,320,-80,320,240,0,240,0,0,320,160,127,0,153,044.png,cube,10,100.0,center,center,10_044
4,4,south,0,5,142,62,177,62,177,97,142,97,142,62,35,35,127,255,153,004.png,cube,11,100.0,center,center,11_004
9,9,east,-4,4,0,57,35,62,35,97,0,102,0,57,35,45,0,191,51,009.png,cube,11,100.0,center,center,11_009
10,10,east,-3,4,46,57,71,62,71,97,46,102,46,57,25,45,31,191,51,010.png,cube,11,100.0,center,center,11_010
11,11,east,-2,4,91,57,106,62,106,97,91,102,91,57,15,45,63,191,51,011.png,cube,11,100.0,center,center,11_011
