bank_id	obj_id	tile_name	is_active	is_door	is_wall	is_trigger	is_blocking	render_type	render_obj_id	scale	align_vert	align_horiz	special	notes
1	10	"LIGHT GREY WALL"	1	0	1	0	1	cube		100	center	center	outer	"texture used to render the outer boundaries of the map"
1	11	"JAIL CELL"	1	0	1	0	1	cube		100	center	center	normal	
1	12	"STONE ARCH BIRD"	1	0	1	0	1	cube		100	center	center	normal	
1	13	"DARK GREY WALL"	1	0	1	0	1	cube		100	center	center	normal	
1	14	"WOOD WALL"	1	0	1	0	1	cube		100	center	center	normal	
1	15	"HANGING FLAG"	1	0	1	0	1	cube		100	center	center	normal	
1	16	"WOOD EAGLE"	1	0	1	0	1	cube		100	center	center	normal	
1	17	"BLUE WALL"	1	0	1	0	1	cube		100	center	center	normal	
1	18	PLACEHOLDER	0	0	0	0	0	"null cell"					"null cell"	
1	19	"NULL CELL"	1	0	1	0	0	"null cell"					"null cell"	
2	20	LAMP	1	0	1	0	0	sprite		66	bottom	center	normal	
2	21	BARREL	1	0	1	0	0	sprite		50	bottom	center	normal	
2	22	TABLE	1	0	1	0	0	sprite		50	bottom	center	normal	
2	23	"OVERHEAD LIGHT"	1	0	0	0	0	sprite		66	top	center	normal	
2	24	"RADIOACTIVE BARREL"	1	0	1	0	0	sprite		50	bottom	center	normal	
2	25	"BJ 25%"	1	0	0	0	0	ui					normal	
2	26	"BJ 50%"	1	0	0	0	0	ui					normal	
2	27	"BJ 75%"	1	0	0	0	0	ui					normal	
2	28	"BJ 100%/ START POSITION"	1	0	0	0	0	ui					start	
2	29	"GREY FLOOR"	1	0	0	0	0	floor		100	bottom	center	normal	1D
3	30	"DOOR TO ROOM 0"	1	0	0	1	1	cube	57	100	center	center	"to room"	
3	31	"DOOR TO ROOM 1"	1	0	0	1	1	cube	57	100	center	center	"to room"	
3	32	"DOOR TO ROOM 2"	1	0	0	1	1	cube	57	100	center	center	"to room"	
3	33	"DOOR TO ROOM 3"	1	0	0	1	1	cube	57	100	center	center	"to room"	
